Modelo,FuzzyWuzzy,TF-IDF,SBERT,BERTimbau,Multilingual,WMD-FT,WMD-NILC,BERTScore,ROUGE-L,accuracy,precision,recall,f1
alpaca,0.473,0.561,0.748,0.762,0.803,0.694,0.664,0.841,0.540,0.419,0.512,0.699,0.591
dolphin,0.641,0.756,0.873,0.891,0.913,0.774,0.751,0.905,0.703,0.676,0.812,0.801,0.806
gemma,0.412,0.695,0.842,0.850,0.885,0.726,0.699,0.883,0.648,0.466,0.486,0.917,0.636
llama,0.422,0.672,0.835,0.844,0.873,0.711,0.684,0.871,0.605,0.446,0.479,0.865,0.616
mistral,0.534,0.704,0.842,0.874,0.899,0.726,0.699,0.888,0.651,0.610,0.670,0.872,0.758
qwen,0.367,0.429,0.668,0.673,0.726,0.663,0.632,0.808,0.448,0.235,0.311,0.487,0.380
