Modelo,FuzzyWuzzy,TF-IDF,SBERT,BERTimbau,Multilingual,WMD-FT,WMD-NILC,BERTScore,ROUGE-L,accuracy,precision,recall,f1
alpaca,0.334,0.168,0.386,0.418,0.484,0.522,0.486,0.702,0.172,0.081,0.103,0.109,0.105
dolphin,0.511,0.423,0.557,0.621,0.665,0.620,0.589,0.786,0.412,0.339,0.301,0.276,0.286
gemma,0.384,0.364,0.520,0.579,0.625,0.608,0.577,0.772,0.350,0.182,0.252,0.300,0.265
llama,0.638,0.447,0.595,0.657,0.685,0.617,0.586,0.796,0.427,0.439,0.237,0.250,0.243
mistral,0.563,0.385,0.575,0.607,0.665,0.607,0.575,0.779,0.377,0.434,0.268,0.214,0.238
qwen,0.336,0.083,0.304,0.369,0.444,0.496,0.462,0.684,0.111,0.160,0.051,0.039,0.044
